"trust_code","ltla_code","source","p"
"rgp","e07000145","patient_postcode",0.377777777777778
"rgp","e07000147","patient_postcode",0.0311111111111111
"rgp","e07000244","patient_postcode",0.564444444444444
"rgr","e07000245","hospital_postcode",NA
"rgr","e07000245","patient_postcode",1
"rgt","e07000008","hospital_postcode",NA
"rgt","e07000008","patient_postcode",0.232704402515723
"rgt","e07000009","patient_postcode",0.232704402515723
"rgt","e07000011","patient_postcode",0.050314465408805
"rgt","e07000012","patient_postcode",0.314465408805031
"rgt","e07000077","patient_postcode",0.0377358490566038
"rgt","e07000245","patient_postcode",0.132075471698113
"rh5","e07000188","patient_postcode",0.545454545454545
"rh5","e07000246","patient_postcode",0.454545454545455
"rh8","e07000041","hospital_postcode",NA
"rh8","e07000040","patient_postcode",0.454545454545455
"rh8","e07000041","patient_postcode",0.218181818181818
"rh8","e07000042","patient_postcode",0.327272727272727
"rha","e06000018","hospital_postcode",NA
"rhm","e06000045","hospital_postcode",NA
"rhm","e06000045","patient_postcode",0.436749769159741
"rhm","e06000054","patient_postcode",0.00461680517082179
"rhm","e07000086","patient_postcode",0.12280701754386
"rhm","e07000087","patient_postcode",0.0452446906740536
"rhm","e07000091","patient_postcode",0.154201292705448
"rhm","e07000093","patient_postcode",0.212373037857802
"rhm","e07000094","patient_postcode",0.0240073868882733
"rhq","e08000019","hospital_postcode",NA
"rhq","e08000019","patient_postcode",1
"rhu","e06000044","hospital_postcode",NA
"rhu","e06000044","patient_postcode",0.324435318275154
"rhu","e07000085","patient_postcode",0.0677618069815195
"rhu","e07000087","patient_postcode",0.162217659137577
"rhu","e07000088","patient_postcode",0.137577002053388
"rhu","e07000090","patient_postcode",0.262833675564682
"rhu","e07000094","patient_postcode",0.0451745379876797
"rhw","e06000038","hospital_postcode",NA
"rhw","e06000036","patient_postcode",0.0471887550200803
"rhw","e06000037","patient_postcode",0.162650602409639
"rhw","e06000038","patient_postcode",0.379518072289157
"rhw","e06000039","patient_postcode",0.0220883534136546
"rhw","e06000040","patient_postcode",0.00803212851405622
"rhw","e06000041","patient_postcode",0.307228915662651
"rhw","e07000084","patient_postcode",0.00602409638554217
"rhw","e07000179","patient_postcode",0.0672690763052209
"rj1","e09000022","hospital_postcode",NA
"rj1","e09000022","patient_postcode",0.291666666666667
"rj1","e09000023","patient_postcode",0.125
"rj1","e09000028","patient_postcode",0.513888888888889
"rj1","e09000033","patient_postcode",0.0694444444444444
"rj2","e09000011","hospital_postcode",NA
"rj2","e09000023","hospital_postcode",NA
"rj2","e09000004","patient_postcode",0.246376811594203
"rj2","e09000006","patient_postcode",0.0398550724637681
"rj2","e09000011","patient_postcode",0.322463768115942
"rj2","e09000023","patient_postcode",0.391304347826087
"rj6","e09000008","patient_postcode",1
"rj7","e09000021","patient_postcode",0.0833333333333333
"rj7","e09000022","patient_postcode",0.166666666666667
"rj7","e09000024","patient_postcode",0.4
"rj7","e09000032","patient_postcode",0.35
"rjc","e07000222","hospital_postcode",NA
"rjc","e07000221","patient_postcode",0.469255663430421
"rjc","e07000222","patient_postcode",0.491909385113269
"rjc","e08000029","patient_postcode",0.0388349514563107
"rje","e06000021","hospital_postcode",NA
"rje","e06000021","patient_postcode",0.484
"rje","e06000049","patient_postcode",0.044
"rje","e07000195","patient_postcode",0.24
"rje","e07000197","patient_postcode",0.112
"rje","e07000198","patient_postcode",0.12
"rjl","e06000012","hospital_postcode",NA
"rjl","e06000013","hospital_postcode",NA
"rjl","e06000011","patient_postcode",0.0447761194029851
"rjl","e06000012","patient_postcode",0.194029850746269
"rjl","e06000013","patient_postcode",0.626865671641791
"rjl","e07000137","patient_postcode",0.0895522388059701
"rjl","e07000142","patient_postcode",0.0447761194029851
"rjn","e06000049","hospital_postcode",NA
"rjn","e06000049","patient_postcode",1
"rjr","e06000050","hospital_postcode",NA
"rjr","e06000050","patient_postcode",0.832402234636871
"rjr","w06000005","patient_postcode",0.167597765363128
"rjz","e09000006","hospital_postcode",NA
"rjz","e09000022","hospital_postcode",NA
"rk5","e07000170","hospital_postcode",NA
"rk5","e07000032","patient_postcode",0.0669856459330144
"rk5","e07000033","patient_postcode",0.0382775119617225
"rk5","e07000170","patient_postcode",0.325358851674641
"rk5","e07000174","patient_postcode",0.320574162679426
"rk5","e07000175","patient_postcode",0.248803827751196
"rk9","e06000026","hospital_postcode",NA
"rk9","e06000026","patient_postcode",0.6
"rk9","e06000052","patient_postcode",0.296
"rk9","e07000044","patient_postcode",0.104
"rkb","e08000026","hospital_postcode",NA
"rkb","e07000151","patient_postcode",0.0237154150197628
"rkb","e07000218","patient_postcode",0.0197628458498024
"rkb","e07000219","patient_postcode",0.0474308300395257
